Method,Label,Accuracy,Precision,Recall,F1-Score
Random Forest,Binary-drownsy,95.62024888788783,100.0,93.30348687042618,96.53575150764736
Random Forest,Binary-focused,98.59226307787601,92.47441300421433,100.0,96.0900844541758
Random Forest,Binary-unfocused,80.37952587420463,0.0,0.0,0.0
Random Forest,Multi-class,95.73962497888394,93.3904411547214,97.76641925401779,95.18842604600158
Mutual Info,Binary-drownsy,95.5143870713441,100.0,93.14162720619889,96.44904472795028
Mutual Info,Binary-focused,98.51455599977477,92.09185202949817,100.0,95.88314242017542
Mutual Info,Binary-unfocused,80.52029956641704,0.0,0.0,0.0
Mutual Info,Multi-class,95.8049439720705,93.46867669372848,97.79970953956808,95.25559313045537
RFE,Binary-drownsy,95.69119882876288,100.0,93.41196728368489,96.59378227271108
RFE,Binary-focused,98.51230362069936,92.08081050296745,100.0,95.87715739209138
RFE,Binary-unfocused,80.4279520243257,0.0,0.0,0.0
RFE,Multi-class,95.74525592657244,93.39631979837965,97.75651975863346,95.18781256132377
PCA,Binary-drownsy,95.63263697280252,100.0,93.32242789496341,96.54588855636311
PCA,Binary-focused,98.53933216960414,92.21348382061596,100.0,95.94902707936409
PCA,Binary-unfocused,80.71175178782589,0.0,0.0,0.0
PCA,Multi-class,95.65065600540571,93.27337323028011,97.6747867042139,95.07242883755139
Useful Channels,Binary-drownsy,65.40345740188074,65.40345740188074,100.0,79.0835432695581
Useful Channels,Binary-focused,82.70172870094036,0.0,0.0,0.0
Useful Channels,Binary-unfocused,82.70172870094036,0.0,0.0,0.0
Useful Channels,Multi-class,65.40345740188074,21.80115246729358,33.33333333333333,26.361181089852703
